date,car,bus,station_code,station_name,city
2020-07-02,15206,723,167,광주,광주
2020-07-03,17479,705,167,광주,광주
2020-07-04,18696,405,167,광주,광주
2020-07-05,18232,167,167,광주,광주
2020-07-06,15464,642,167,광주,광주
2020-07-07,13977,679,167,광주,광주
2020-07-08,14470,694,167,광주,광주
2020-07-09,15145,724,167,광주,광주
2020-07-10,16930,621,167,광주,광주
2020-07-11,18346,376,167,광주,광주
2020-07-12,15586,156,167,광주,광주
2020-07-13,13720,573,167,광주,광주
2020-07-14,13654,615,167,광주,광주
2020-07-15,14344,700,167,광주,광주
2020-07-16,15216,712,167,광주,광주
2020-07-17,18395,707,167,광주,광주
2020-07-18,20013,407,167,광주,광주
2020-07-19,17668,153,167,광주,광주
2020-07-20,15268,582,167,광주,광주
2020-07-21,15226,699,167,광주,광주
2020-07-22,13970,614,167,광주,광주
2020-07-23,13514,615,167,광주,광주
2020-07-24,16177,585,167,광주,광주
2020-07-25,17935,355,167,광주,광주
2020-07-26,19146,166,167,광주,광주
2020-07-27,16129,591,167,광주,광주
2020-07-28,14371,655,167,광주,광주
2020-07-29,12823,603,167,광주,광주
2020-07-30,14965,630,167,광주,광주
2020-07-31,19377,620,167,광주,광주
2020-07-01,13212,416,174,춘천,춘천
2020-07-02,13808,404,174,춘천,춘천
2020-07-03,16427,420,174,춘천,춘천
2020-07-04,19813,249,174,춘천,춘천
2020-07-05,16835,150,174,춘천,춘천
2020-07-06,14928,386,174,춘천,춘천
2020-07-07,13292,383,174,춘천,춘천
2020-07-08,13755,395,174,춘천,춘천
2020-07-09,14142,445,174,춘천,춘천
2020-07-10,16089,390,174,춘천,춘천
2020-07-11,19354,223,174,춘천,춘천
2020-07-12,16685,155,174,춘천,춘천
2020-07-13,13372,298,174,춘천,춘천
2020-07-14,13402,347,174,춘천,춘천
2020-07-15,14219,409,174,춘천,춘천
2020-07-16,14321,389,174,춘천,춘천
2020-07-17,17310,414,174,춘천,춘천
2020-07-18,19616,243,174,춘천,춘천
2020-07-19,15179,151,174,춘천,춘천
2020-07-20,13952,324,174,춘천,춘천
2020-07-21,14182,374,174,춘천,춘천
2020-07-22,14113,411,174,춘천,춘천
2020-07-23,13625,356,174,춘천,춘천
2020-07-24,15748,341,174,춘천,춘천
2020-07-25,17359,220,174,춘천,춘천
2020-07-26,17343,132,174,춘천,춘천
2020-07-27,14793,335,174,춘천,춘천
2020-07-28,14009,337,174,춘천,춘천
2020-07-29,13740,366,174,춘천,춘천
2020-07-30,14487,362,174,춘천,춘천
2020-07-31,18035,323,174,춘천,춘천
2020-07-01,5751,199,179,홍천,홍천
2020-07-02,6153,225,179,홍천,홍천
2020-07-03,7248,219,179,홍천,홍천
2020-07-04,8161,115,179,홍천,홍천
2020-07-05,10672,75,179,홍천,홍천
2020-07-06,6418,214,179,홍천,홍천
2020-07-07,5819,195,179,홍천,홍천
2020-07-08,5927,223,179,홍천,홍천
2020-07-09,6330,236,179,홍천,홍천
2020-07-10,7156,191,179,홍천,홍천
2020-07-11,7818,102,179,홍천,홍천
2020-07-12,10223,56,179,홍천,홍천
2020-07-13,5804,148,179,홍천,홍천
2020-07-14,5526,159,179,홍천,홍천
2020-07-15,5979,227,179,홍천,홍천
2020-07-16,6378,228,179,홍천,홍천
2020-07-17,7629,232,179,홍천,홍천
2020-07-18,8701,123,179,홍천,홍천
2020-07-19,10983,63,179,홍천,홍천
2020-07-20,5839,162,179,홍천,홍천
2020-07-21,6228,208,179,홍천,홍천
2020-07-22,6443,211,179,홍천,홍천
2020-07-23,6234,193,179,홍천,홍천
